slang,normalisasi
masiswa,mahasiswa
maslh,masalah
masuuuk,masuk
masyarakt,masyarakat
masyarat,masyarakat
masyrakat,masyarakat
maya,makan
mbacot,omong kosong
mdgn,medan
meliter,militer
menari2,menari-nari
mencekit,mencekik
mencinatak,mencintai
mendem,tertimbun
mendgr,mendengar
mendng,mending
menegakn,menegakkan
menegaskn,menegaskan
meneros,menerus
mengahbiskan,menghabiskan
menganti,mengganti
mengatsnamakan,mengatasnamakan
mengeledah,menggeledah
menggajih,gaji
menghina2,menghina-hina
menguatirkan,mengkhawatirkan
menninggal,meninggal
mensah,mensahkan
mensejatrahkan,mensejahterakan
mensyahkan,mensahkan
menta2x,minta-minta
mentang2,mentang-mentang
menteri2,menteri-menteri
mentri2,menteri-menteri
menunggu2,menunggu-nunggu
menyarakan,menyuarakan
menyngsarakn,menyengsarakan
merdekaaaa,merdeka
mereka2,mereka-mereka
mereke,mereka
merformasi,mereformasi
merka,mereka
merrka,mereka
meyuarakan,menyuarakan
mhn,mohon
mhs,mahasiswa
mhsiswa,mahasiswa
mhssw,mahasiswa
mhsw,mahasiswa
miilik,milik
mimpiiiiii,mimpi
minggat,pergi
mintak,minta
misken,miskin
miskikkan,miskinkan
mju,maju
mkin,makin
mkn,makan
mkny,makanya
mlakukan,melakukan
mlarat,miskin
mlempem,lemah
mlihat,melihat
mlindungi,melindungi
mmg,memang
mmperkaya,memperkaya
mmprjuangkn,memperjuangkan
mn,mana
mna,mana
mncegah,mencegah
mnderita,menderita
mnding,mending
mndur,mundur
mnggeliat,menggeliat
mnghalangi,mengahalangi
mngkin,mungkin
mnjengkelkn,menjengkelkan
mnjerat,menjerat
mnjga,menjaga
mnta,minta
mnuntut,menuntut
mnyelamatkan,menyelamatkan
mnyelamatkn,menyelamatkan
mnykiti,menyakiti
moda,muda
modyar,mati
moga,semoga
molor,menunda-nunda
mreka,mereka
mrk,mereka
mrndesak,mendesak
msg,masing
msh,masih
msih,masih
mslh,masalah
msyrkt,masyarakat
muaakk,muak
mudah2an,mudah-mudahan
mugni,murni
mukyani,mulyani
munkin,mungkin
murid2,murid-murid
murini,murni
music,musik
must,harus
mustahil,mustahil
musuk,musuh
muter2,muter-muter
mw,mau
my   ,ma
n,dan
n.k.r.i,nkri
naek,naik
nahasih,kenapasih
naikn,naikkan
nanti2x,nanti-nanti
nb,nota bene (catatan)
nda,tidak
negaradisgusting,negara menjijikan
negra,negara
negri,negeri
negrri,negeri
nerima,terima 
ng,tidak
nga,tidak
ngadakan,mengadakan
ngak,tidak
ngasi,kasih
ngawor,sembarangan
ngedableg,keras kepala
ngeliat,melihat
ngemis2,ngemis-ngemis
ngerocos,omong kosong
nggak,tidak
nggk,tidak
ngk,tidak
nglunjak,ngelunjak
ngmng,ngomong
ngrubah,ngerubah
ni,nih
niy,nih
nnt,nanti
no,tidak
nodoh2in,bodoh-bodohin
nongol,muncul
ntar,nanti
nti,nanti
ntuk,untuk
ny,nya
nyantae,nyantai
nyata2,nyata-nyata
oajak,pajak
obok2,obok-obok
odni,indo
oejabat,pejabat
oemilu,pemilu
oenting,penting
oknum2,oknum-oknum
okt,oktober
oktum,oknum
okunum ,oknum
okunum2,oknum-oknum
oky,oke
omon2,omong kosong
omon2,omon-omon
opegasahan,pengesahan
ora,tidak
orang2,orang
orang2x,orang-orangnya
orde2,orde-orde
org,orang
org2,orang-orang
orgnya,orangnya
orng2,orang-orang
oruptor,koruptor
otaknye,otaknya
pa,bapak
pad,pada
padalah,padahal
pajak2,pajak-pajak
pajak2nya,pajak-pajaknya
pajakk,pajak
pake,pakai
palah,malah
pamarentah,pemerintah
panc,pancing
pantae,pantai
pantezan,pantesan
partai2,partai-partai
pas,tepat
pas,saat
pasilitas,fasilitas
paw,pawai
pd,pada
pda,pada
pdhl,padahal
pduli,peduli
pecabat,pejabat
pecat2,pecat-pecat
pegawae,pegawai
pehabat,pejabat
peienyitaan,penyitaan
pejabad,pejabat
pejabat2,pejabat-pejabat
pejabatny,pejabatnya
pejuangan,perjuangan
pekerjaann,pekerjaan
pelakukruosi,pelaku korupsi
pemeraaaasss,pemeras
pemerinta,pemerintah
pemerinth,pemerintah
pemeritah,pemerintah
pemrintah,pemerintah
pencetahannya,pencerahannya
pendana,pendanaan
peneggak,penegak
pengen,ingin
pengisap,penghisap
pengrusakan,perusakan
pengusaan,penguasaan
penjabat,pejabat
penjarah,penjara
penjuang,pejuang
peraaang,perang
perampsan,perampasan
perbadingakan,perbandingkan
percumah,percuma
perluu,perlu
permpasan,perampasan
perramina,pertamina
pertanggungjawabannya,pertanggung jawabannya
perusahaan2 ,perusahaan-perusahaan
petampasan,perampasan
pingin,ingin
pintam,pintar
pjk,pajak
pjk2yg,pajak-pajak yang
pling,paling
plus,tambah
pmerintah,pemerintah
pmimpin,pemimpin
pndemo,pendemo
pntng,pantang
pny,punya
podo,pada
point2,point-point
pok,pokok
policy,polisi
pon,pun
pp,apa-apa
pra,sebelum
praktek2,praktek-praktek
prbaiki,perbaiki
preman2,preman-preman
prempasan,perampasan
presen,persen
preside,presiden
preside.yg,presiden yang
president,presiden
prmpasan,perampasan
profesilin,profesi
propokator,provokator
pting,penting
pto,pro
ptut,patut
publikadikan,publikasikan
punten,permisi
q,ku
raktat,rakyat
rakus2,rakus-rakus
rakya,rakyat
rakyak,rakyat
rakyat,masyarakat
rakyat.bubarkan,rakyat bubarkan
rakyat3,rakyat
rakyatkahlah,rakyat kalah
rakyatmahasiswa,rakyat mahasiswa
rakyatnyapun,rakyatnya pun
rakyatsejahtera,rakyat sejahtera
rakyattt,rakyat
rakyattttt,rakyat
rakyt,rakyat
rampok2,rampok-rampok
rantastis,fantastis
rapot,rapat
rasionl,rasional
rasizzz,rasis
rata2,rata-rata
rayaat,rakyat
rayat,rakyat
rb,ribu
real,asli
rekan2,rekan-rekan
resaple,reshuffle
resevel,reshuffle
resufle,reshuffle
rg,rocky gerung
ricu,ricuh
rkyat,rakyat
rkyat.jgn,rakyat jangan
rkyt,rakyat
rmah,rumah
rmh,rumah
rp100jt,rp 100 juta
rp12jt,rp 12 juta
rskyat,rakyat
ruwet,ribet
s.d.a,sda
s.d.m,sdm
sabat,sabar
sahid,syahid
sahka,sahkan
sakin,sakit
sakjane,seharusnya
salahkn,salahkan
salhkn,salahkan
sampae,sampai
sampay,sampai
sampe,sampai
sampein,sampaikan
sampek,sampai
sampi,sampai
sangat2,sangat-sangat
sanget,sangat
saudara2,saudara-saudara
saudara2ku,saudara-saudaraku
saudara2q,saudara-saudaraku
sbb,sebab
sbg,sebagai
sbgai,sebagai
sblumnya,sebelumnya
scr,secara
sd,sudah
sdah,sudah
sdg,sedang
sdgkn,sedangkan
sdh,sudah
seadil2,seadil-adilnya
seakan2,seakan-akan
sebagey,sebagai
sebelm,sebelum
secepat2,secepat-cepatnya
sedanh,sedang
segarah,segera
segra,segera
seh,sih
seharasnya,seharusnya
sehrsnya,seharusnya
sejahtra,sejahtera
sejaktra,sejahtera
seknifikan,signifikan
sekolah2,sekolah-sekolah
sekrg,sekarang
sekrng,sekarang
seleuruh,seluruh
selsai,selesai
selurj,seluruh
semena2,semena-mena
sementata,sementara
semngat,semangat
sendiir,sendiri
seneng,senang
senggan,segan
seourh,seluruh
sep,seperti
sepnjng,sepanjang
sept,september
septtnya,sepertinya
setela,setelah
seterah,terserah
setuasi,situasi
setujui,setuju
seumur2,seumur-umur
sfh,sudah
sgra,segera
shgg,sehingga
shkn,sahkan
sht,sehat
si,di
sia2,sia-sia
siapmnunggu,menunggu
sidah,sudah
silahturaminya,silaturahimnya
situ,anda
sj,saja 
sj,saja
sja,saja
sjh,saja
skali,sekali
skarang,sekarang
skl,selalu
skla,sekala
skolah,sekolah
skr,sekarang
skrang,sekarang
skrg,sekarang
skrng,sekarang
slalu,selalu
slang,normalisasi
sling,saling
sllu,selalu
slmt,selamat
sluruh,seluruh
sm,sama
smentara,sementara
smg,semoga
smoga,semoga
smpai,sampai
smpe,sampai
smua,semua
smuanya,semuanya
sndiri,sendiri
snoga,semoga
sobatku,sahabatku
sodara2,saudara-saudara
sogeh,kaya
sonoh,sana
sosok2,sosok-sosok
sperti ,seperti
spt,seperti
spy,supaya
srentak,serentak
srharusnya,seharusnya
stidaknya,setidaknya
stiril,steril
stlh,setelah
stuju,setuju
sudah2,sudah-sudah
sunami,tsunami
surat2,surat-surat
sx,sekali
sy,saya
syah,sah
syahkan,sahkan
syhkn,sahkan
system,sistem
syukur2,syukur-syukur
syur,suara
t.jwwb,tanggung jawab
tahun,dapat
tai,tahi
tai2,tahi-tahi
taik,tahi
tailand,thailand
tanggungjawab,tanggung jawab
tankapa,tangkap
tapii,tapi
targed,target
taruskan,teruskan
tatanna,tatanan
tau,tahu
tbtb,tiba-tiba
tdak,tidak
tdk,tidak
tegu,teguh
telek2,tahi
temen2,teman-teman
temen2ku,temen-temenku
tengah2,tengah-tengah
terakit,terkait
teraniyaya,teraniaya
tercintaaa,tercinta
tergopoh2,tergopoh-gopoh
teriak2,teriak-teriak
terlali,terlalu
teroooos,terus
teros,terus
terossss,terus
tertidasan.mari,tertindas mari
tertidasan.mari,tertindas
teruss,terus
terusss,terus
terussss,terus
terusssss,terus
tetapberisik,tetap berisik
tgl,tanggal
th,tahun
thd,terhadap
thn,tahun
thu,tahu
thun,tahun
thx,terima kasih
tida,tidak
tidah,tidak
tikus2,tikus
tingal,tinggal
tiugastni,tugas tni
tk,tidak
tll,terlalu
tnp ,tanpa
tnpa,tanpa
todak,tidak
tolol,bodoh
tp,tapi
tpi,tapi
transparasi,transparansi
transparency,transparansi
trhdap,terhadap
triak,teriak
trik,terima
trilyun,triliun
trima,terima
trimakasih,terima kasih
trims,terima kasih
trmasuk,termasuk
tros,terus
trskn,teruskan
trtentu,tertentu
trtindas,tertindas
trus,terus
truss,terus
trusss,terus
truuuus,terus
tsb,tersebut
ttep,tetap
ttg,tentang
ttp,tetap
tu,itu
tunjangan2,tunjangan
tunjngn,tunjangan
tuntan,tuntutan
tuntang,tuntutan
tuntuan,tuntutan
tuntutan17,tuntutan 17
tuntutan2,tuntutan-tuntutan
tuntutan2nya,tuntutan-tuntutannya
tuntutannyasalam,tuntutannya
tuntuttan,tuntutan
tuntuttuntan,tuntutan
turu,tidur
tutut,tuntut
tututan,tuntutan
tuuuuh,tuh
u,untuk
uda,udah
udahhh,sudah
udd,uud
uga,juga
ujung2,ujung-ujungnya
ujung2nya,ujung-ujungnya
umkm2,umkm-umkm
umrohnyadari,umrohnya dari
undang2,undang-undang
undang2,undang2
unt,untuk
untk,untuk
untu,untuk
urgen,darurat
urgent,darurat
urus,peduli
ush,usah
utk,untuk
uu,undang-undang
uud,uu
uudang,undang-undang
uuprampasan,uu perampasan
uwes,sudah
va,ya
versatu,bersatu
waahh,wah
waili,wakili
wakil2,wakil-wakil
walaikumsalam,waalaikumsalam
walo,walau
wargaindonesia,warga indonesia
wedele,pusar
wellcome,terbuka
wktu,waktu
wlupun,walaupun
wrwb,assalamualaikum
x,kali
yaa,ya
yaaa,ya
yg,yang
ygakan,yang akan
yng,yang
yo,ayo
yok,yuk
yuntutsnya,tuntutannya
zhalim,zalim
zolim,zalim
