slang,normalisasi
kalianberubah,kalian berubah
kalianlah,kalian lah 
kalianlicik,kalian licik 
kalianpara,kalian para
kalo,kalau
kalopun,kalaupun
kalu,kalau
kampung2,kampung-kampung
kanann,kanan
kapok2,kapok
karana,karena 
karana,karena
karitu ,begitu
karna,karena 
karyawan2,karyawan-karyawan
kasi,kasih
kasik,kasih
kataya,katanya
katena,karena
kau,kamu
kawall,kawal
kawallah,kawal lah
kawalll,kawal
kawalllllll,kawal
kawan2,kawan-kawan
kayak,seperti
kayakx,kayaknya
kbanyakan,kebanyakan
kbijakan,kebijakan
keadlilan,keadilan
kebiadanban,kebiadaban
kebijakan2,kebijakan-kebijakan
keburukan2,keburukan-keburukan
kedholiman,kezaliman
kedoliman,kezaliman
kehairan,kehadiran
keinaikn,kenaikan
kejaaammmm,kejam
kek,seperti 
kekampus,ke kampus
kekayaan2,kekayaan-kekayaan
kelaarrr,kelar
kelar2,kelar-kelar
kelompok2,kelompok-kelompok
keluarga2,keluarga-keluarga
kemana2,kemana-mana
kemaren,kemarin
kemaren ,kemarin
kenkopolhukam,menkopolhukam
kepala2,kepala-kepala
kepannya,kedepannya
keparaattt,keparat
kepengusaha2,kepengusaha-pengusaha
kepetingan,kepentingan
kerana,karena
kerj,kerja
kerjaa,kerja
kerjan,kerjaan
kerje,kerja
kermh,ke rumah
kerna,karena
kerumah,ke rumah
kesalan,kekesalan
kesehannya,kesehatannya
kesing,tampilan
ketaua,ketauan
ketaui,ketahui
ketdk,ketidak
ketidak,ketidakadilan
ketimbang,dibandingkan
ketum2,ketum-ketum
kewangan,keuangan
kezholiman,kezaliman
kgk,nggak
khan,kan
kiat,kita
kibuli,dibohongi
kira2,kira-kira
kita2,kita-kita
kitak,kita
kiyamat,kiamat
kjalan,ke jalan
kkekcauan,kekacauan
kl,kalau
klakuan,kelakuan
klau,kalau 
klau,kalau
klewat,kelewat
kllo,kalau
klo,kalau
klobukan,kalau bukan
klompok,kelompok
klopun,kalaupun
klu,kalau
kluarkan,keluarkan
klw,kalau
kmbali,kembali
kmi,kami
kmnterian,kementrian
kmrn,kemarin
kn,kan
knp ,kenapa
knpa,kenapa
ko,kok
kog,kok
kok.bubarkn,kok bubarkan
kolap,collapse
kolep,collapse
komas,komnas
komndo,komando
komoha,konoha
komplen,komplain
kontrakrp50jt,kontrak rp 50 juta
kontrakrp5ojt,kontrak 50 juta
koq,kok
korba,korban
korea2,korea-korea
koropisi,korupsi
koropsi,korupsi
koruosi,korupsi
korup,korupsi
korupptor,koruptor
korups,korupsi
korupsi2,korupsi-korupsi
korupsih,korupsi
korupsih.itu,korupsi itu
korupst,korupsi
koruptor.rusak,koruptor rusak
koruptor2,koruptor-koruptor
koruptot,koruptor
kostl,kost
kpan,kapan
kpd,kepada
kpn,kapan
kqrena,karena
krbutuhan,kebutuhan
krinier,kinerja
krjanya,kerjanya
krn,karena
krn,karena 
krsrakahan,keserakahan 
ksh,kasih
ksmi,kami
kt,kita
kuatir,khawatir
kucing2an,kucing
kuhut,luhut
kurleb,kurang lebih
kuropspsi,korupsi
kurupsi,korupsi
kuwat,kuat
kuyo2,kuyo
kwalitas,kualitas
kwan,kawan
kwatir,khawatir
kwmiskinan,kemiskinan
kwpolisian,kepolisian
ky,kayak
kya,kaya
kyak,kayak
kykny,kayaknya
kyknya,kayaknya
la,lah
laaah,lah
laen,lain
laen,lain 
lagi2,lagi-lagi
lagih,lagi
lagiiiii,lagi
lagipula,lagi pula
lainya,lainnya
lajut,lanjut
laksana,laksanakan
laksanaka,laksanakan
lama2,lama-lama
lamaaaaaa,lama
lamhay,lambat
lanjutken,lanjutkan
lanjutkn,lanjutkan
lanjuuuuut,lanjut
laporanny,laporannya
larena,karena
lbeh,lebih
lbh,lebih
lbih,lebih
legowo,lapang dada
lembaga2,lembaga-lembaga
lental,mental
lenyapmenjijikan,lenyap menjijikan
lg,lagi
lgi,lagi
lgi2,lagi-lagi
lgs,langsung
lha,lah
lho,loh
lht,lihat
liat,lihat
lihatwajah,lihat wajah
lihatwajah,lihat wajah 
lindungilh,lindungilah
lncar,lancar
lngsung,langsung
lo,kamu
loe,loh
loo,loh
looh,loh
luarbisa,luar biasa
luasx,luasnya
lupang,lubang
lwt,lewat
ma,sama
macam2,macam-macam
madalah,masalah
maen,main
maenan,mainan
maha2,mahal-mahal
mahacasis,mahasiswa
mahal2,mahal-mahal
mahasiswakalian,mahasisswa kalian
mahasiwa,mahasiswa
mahasiwi,mahasiswi
mahu,mau
mahukan,mau
majuu,maju
makah,malah
makn,makan
mala,malah
malai,mulai
maling2,maling-maling
mallum,maklum
mamakai,memakai
mana2,mana
manaaa,mana
mangan,makan
mangkanyagercep,makanya gercep
mantaaap,mantap
manusia2,manusia-manusia
maraoke,merauke
mas8h,masih
masaa,massa
masadepan,masa depan
masarakat,masyarakat
masharakat,masyarakat
masing2,masing-masing
masiswa,mahasiswa
maslaah,masalah
maslah,masalah
maslahnya,masalahnya
maslh,masalah
masrakat,masyarakat
masslah,masalah
masuuuk,masuk
masyarakt,masyarakat
masyarat,masyarakat
masyrakat,masyarakat
matii,mati
matiiii,mati
mavia,mafia
maw,mau
maya,makan
mb,mbak
mbacot,omong kosong
mbacot,bacot
mbk,mbak
mdgn,medan
melaksanakn,melaksanakan
meliter,militer
memank,memang
memberntas,memberantas
memprkaya,memperkaya
menari2,menari-nari
mencekit,mencekik
mencinatak,mencintai
mendem,tertimbun
mendgr,mendengar
mendng,mending
menegakn,menegakkan
menegaskn,menegaskan
meneros,menerus
mengadakandemo,mengadakan demo
mengahbiskan,menghabiskan
mengaji,menggaji
menganti,mengganti
mengatsnamakan,mengatasnamakan
mengcewakan,mengecewakan
mengeledah,menggeledah
menggajih,gaji
menghina2,menghina-hina
menguatirkan,mengkhawatirkan
menguling,mengguling
menninggal,meninggal
mensah,mensahkan
mensahka,mensahkan
mensejahtrakan,mensejahterakan
mensejatrahkan,mensejahterakan
mensenjahterakan,mensejahterakan
mensyahkan,mensahkan
menta2x,minta-minta
mentang2,mentang-mentang
menteri2,menteri-menteri
mentri,menteri
mentri2,menteri-menteri
menunggu2,menunggu-nunggu
menyarakan,menyuarakan
menye2,menye-menye
menyngsarakn,menyengsarakan
merdekaaaa,merdeka
mereka2,mereka-mereka
mereke,mereka
meresa,merasa
merformasi,mereformasi
merka,mereka
merrka,mereka
meyuarakan,menyuarakan
mgkin,mungkin
mhn,mohon
mhs,mahasiswa
mhsiswa,mahasiswa
mhssw,mahasiswa
mhsw,mahasiswa
miilik,milik
mimpiiiiii,mimpi
minggat,pergi
mintak,minta
misken,miskin
miskikkan,miskinkan
miskinsatu,miskin satu
miskunkan,miskinkan
mju,maju
mk,maka
mkin,makin
mkn,makan
mkny,makanya
mknya,makanya
mkx,makanya
mlakukan,melakukan
mlarat,miskin
mlempem,lemah
mlihat,melihat
mlindungi,melindungi
mmang,memang
mmg,memang
mmg,memegang
mmperkaya,memperkaya
mmprjuangkn,memperjuangkan
mmprkaya,memperkaya
mn,mana
mna,mana
mncegah,mencegah
mnderita,menderita
mnding,mending
mndukung,mendukung
mndur,mundur
mnggeliat,menggeliat
mnghalangi,mengahalangi
mngkin,mungkin
mngkn,mungkin
mnjengkelkn,menjengkelkan
mnjerat,menjerat
mnjga,menjaga
mnrtk,menurutku
mnta,minta
mnuntut,menuntut
mnurutku,menurutku
mnyebabkn,menyebabkan
mnyelamatkan,menyelamatkan
mnyelamatkn,menyelamatkan
mnykiti,menyakiti
mobil2,mobil-mobil
moda,muda
modyar,mati
moga,semoga
molor,menunda-nunda
monstrasi,demonstrasi
mpot2,engap-engap
mreka,mereka
mrk,mereka
mrmps,merampas
mrndesak,mendesak
msalah,masalah
msg,masing
msh,masih
msih,masih
mslah,masalah
mslh,masalah
mslhnya,masalahnya
msuk,masuk
msyarakat,masyarakat
msyrkt,masyarakat
muaakk,muak
muang,muak
mudah2an,mudah-mudahan
mudaha2an,mudah-mudahan
mugni,murni
mukyani,mulyani
muluk2,muluk-muluk
munkin,mungkin
murid2,murid-murid
murini,murni
murkaaa,murka
music,musik
musnakan,musnahkan
must,harus
mustahil,mustahil
musuk,musuh
muter2,muter-muter
mw,mau
my   ,ma
n,dan
n.k.r.i,nkri
naek,naik
nahasih,kenapasih
naikkn,naikkan
naikn,naikkan
nail,naik
nanti2x,nanti-nanti
nanyak,nanya
nb,nota bene (catatan)
nda,tidak
ndak,tidak
ne,nya
negar,negara
negaradisgusting,negara menjijikan
negra,negara
negri,negeri
negrri,negeri
nerdeka,merdeka
nerima,terima 
nesar,besar
ng,tidak
nga,tidak
ngacak2,ngacak-ngacak
ngadakan,mengadakan
ngak,tidak
ngaku2,ngaku-ngaku
ngapa2in,ngapa-ngapain
ngasi,kasih
ngawor,sembarangan
ngedableg,keras kepala
ngeliat,melihat
ngemis2,ngemis-ngemis
ngerih,ngeri
ngerocos,omong kosong
ngg,nggak
nggak,tidak
nggk,tidak
nghemat,ngehemat
ngk,tidak
ngk,nggak
nglunjak,ngelunjak
ngmng,ngomong
ngrecoki,ngerecoki
ngrubah,ngerubah
ngurusin2,ngurusin-ngurusin
ni,nih
ni,ini
niy,nih
nnt,nanti
nnti,nanti
no,tidak
nodoh2in,bodoh-bodohin
nongol,muncul
ntar,nanti
nti,nanti
ntt,nanti
ntuk,untuk
ny,nya
nyantae,nyantai
nyata2,nyata-nyata
oajak,pajak
obok2,obok-obok
odni,indo
oejabat,pejabat
oemilu,pemilu
oenting,penting
ogah2,ogah-ogah
oknum2,oknum-oknum
okt,oktober
oktum,oknum
okunum ,oknum
okunum2,oknum-oknum
oky,oke
oligharki,oligarki
omngan,omongan
omon2,omong kosong
omon2,omon-omon
ooooh,oh
ooooooy,oy
opegasahan,pengesahan
ora,tidak
orang2,orang
orang2x,orang-orangnya
orde2,orde-orde
org,orang
org2,orang-orang
orgnya,orangnya
ormas2,ormas-ormas
orng2,orang-orang
oruptor,koruptor
otaknye,otaknya
owalah,oalah
p,pak
pa,bapak
paas,pas
pad,pada
padalah,padahal
pajak2,pajak-pajak
pajak2nya,pajak-pajaknya
pajakk,pajak
pajek,pajak
pake,pakai
pakta,fakta
palah,malah
paling2,paling-paling
pamarentah,pemerintah
panc,pancing
pantae,pantai
pantezan,pantesan
parrrrrrrah,parah
partai2,partai-partai
partaiiiie,partai
partainy,partainya
pas,tepat
pas,saat
pasilitas,fasilitas
paw,pawai
pd,pada
pda,pada
pdhal,padahal
pdhl,padahal
pduli,peduli
pecabat,pejabat
pecat2,pecat-pecat
pegawae,pegawai
pehabat,pejabat
peienyitaan,penyitaan
pejabad,pejabat
pejabat2,pejabat-pejabat
pejabatny,pejabatnya
pejgabat,pejabat
pejuangan,perjuangan
pekerjaann,pekerjaan
pelakukruosi,pelaku korupsi
pelosok2,pelosok-pelosok
pemeraaaasss,pemeras
pemerinta,pemerintah
pemerinth,pemerintah
pemeritah,pemerintah
pemrintah,pemerintah
pemyeimbang,penyeimbang
penak,enak
pencetahannya,pencerahannya
pendana,pendanaan
peneggak,penegak
pengawalan2,pengawalan-pengawalan
pengen,ingin
penghianat,pengkhianat
pengisap,penghisap
pengrusakan,perusakan
pengusaan,penguasaan
penjabat,pejabat
penjabat2,pejabat-pejabat
penjarah,penjara
penjuang,pejuang
peraaang,perang
perampasaan,perampasan
perampsan,perampasan
peramsan,perampasan
perbadingakan,perbandingkan
percumah,percuma
perdasi,berdasi
perisahaa,perusahaan
perjuangkn,perjuangkan
perluu,perlu
permpasan,perampasan
perramina,pertamina
pertanggungjawabannya,pertanggung jawabannya
perusahaan2 ,perusahaan-perusahaan
perxtaan,perkataan
petampasan,perampasan
pigur,figur
pikir2,pikir-pikir
pingin,ingin
pintam,pintar
pintam,pitam 
pinter,pintar
pjabat,pejabat
pjbt,pejabat
pjbt2,pejabat-pejabat
pjk,pajak
pjk2yg,pajak-pajak yang
pknum,oknum
plg,paling
pling,paling
plus,tambah
pmerintah,pemerintah
pmimpin,pemimpin
pmimpinnya,pemimpinnya
pndemo,pendemo
pnting,penting
pntng,pantang
pny,punya
podo,pada
point2,point-point
point2,poin-poin
pok,pokok
pokus,fokus
policy,polisi
pon,pun
porsi2,porsi-porsi
pp,apa-apa
pra,sebelum
prada,pada
praktek2,praktek-praktek
prbaiki,perbaiki
preman2,preman-preman
prempasan,perampasan
presen,persen
preside,presiden
preside.yg,presiden yang
president,presiden
priksa,periksa
pritttttt,prit
prjuangan,perjuangan
prlu,perlu
prmpasan,perampasan
profesilin,profesi
profesioanl,profesional
profibilitas,probibilitas
propokator,provokator
psti,pasti
pting,penting
pto,pro
ptus,putus
ptut,patut
publikadikan,publikasikan
pulau2,pulau-pulau
punca,puncak
punten,permisi
pura2,pura-pura
purnawiran,purnawirawan
q,ku
rajian,razian
raktat,rakyat
rakus2,rakus-rakus
rakya,rakyat
rakyak,rakyat
rakyat,masyarakat
rakyat.bubarkan,rakyat bubarkan
rakyat3,rakyat
rakyatingin,rakyat ingin
rakyatkahlah,rakyat kalah
rakyatmahasiswa,rakyat mahasiswa
rakyatnyapun,rakyatnya pun
rakyatsejahtera,rakyat sejahtera
rakyatt,rakyat
rakyattt,rakyat
rakyattttt,rakyat
rakyatx,rakyatnya
rakyst,rakyat
rakyt,rakyat
ramai2,ramai-ramai
rampok2,rampok-rampok
rantastis,fantastis
rapot,rapat
rasakn,rasakan
rasionl,rasional
rasizzz,rasis
rata2,rata-rata
rayaat,rakyat
rayat,rakyat
rb,ribu
rcari,cari
real,asli
realisanya,realisasinya
rekan2,rekan-rekan
resaple,reshuffle
resevel,reshuffle
resufle,reshuffle
rg,rocky gerung
ribettt,ribet
ricu,ricuh
ridak,tidak
rimanya,rumahnya
rkyat,rakyat
rkyat.jgn,rakyat jangan
rkyt,rakyat
rm,rumah
rmah,rumah
rmh,rumah
rp100jt,rp 100 juta
rp12jt,rp 12 juta
rporter,reporter
rskyat,rakyat
ruma,rumah
ruwet,ribet
s.d.a,sda
s.d.m,sdm
sabat,sabar
sahid,syahid
sahka,sahkan
sahkn,sahkan
sahsadar,sah sadar
sak,se
sakin,sakit
sakjane,seharusnya
salahkn,salahkan
salhkn,salahkan
sama2,sama-sama
samapai,sampai
samp,sampai
sampae,sampai
sampay,sampai
sampe,sampai
sampein,sampaikan
sampek,sampai
sampi,sampai
sanagt,sangat
sanasini,sana sini
sangat2,sangat-sangat
sanget,sangat
sangsi,sanksi
satu2nya,satu-satunya
satubulan,satu bulan
saua,saya
saudara2,saudara-saudara
saudara2ku,saudara-saudaraku
saudara2q,saudara-saudaraku
sbb,sebab
sbg,sebagai
sbgai,sebagai
sblm,sebelum
sblumnya,sebelumnya
scr,secara
sd,sudah
sdah,sudah
sdangkan,sedangkan
sdg,sedang
sdgkn,sedangkan
sdh,sudah
sdkt,sedikit
seadil2,seadil-adilnya
seakan2,seakan-akan
sebagey,sebagai
sebelm,sebelum
sebenatnya,sebenarnya
sebenrnya,sebenarnya
seberat2nya,seberat-beratnya
secepat2,secepat-cepatnya
secepat2nya,secepat-cepatnya
sedanh,sedang
sedgkn,sedangkan
segarah,segera
segeea,segera
segerah,segera
segra,segera
seh,sih
seharasnya,seharusnya
seharsny,seharusnya
sehinga,sehingga
sehrsnya,seharusnya
sejahtra,sejahtera
sejahtraan,sejahteraan
sejaktra,sejahtera
seknifikan,signifikan
sekolah2,sekolah-sekolah
sekrg,sekarang
sekrng,sekarang
selam,selama
seleuruh,seluruh
sellu,selalu
selma,selama
selsai,selesai
selurj,seluruh
semangaaat,semangat
semangat2,semangat-semangat
semena2,semena-mena
sementata,sementara
semgh,semoga
semngat,semangat
semubulah,semua ulah
sendiir,sendiri
seneng,senang
senggan,segan
seourh,seluruh
sep,seperti
sepnjng,sepanjang
sept,september
septtnya,sepertinya
setela,setelah
seterah,terserah
setuasi,situasi
setujui,setuju
setujuuuuu,setuju
seumur2,seumur-umur
sfh,sudah
sgera,segera
sgra,segera
sgt,sangat
shgg,sehingga
shkn,sahkan
sht,sehat
si,di
sia2,sia-sia
siapa2,siapa-siapa
siapmnunggu,menunggu
siaurakan,suarakan
sibuk2,sibuk-sibuk
sidah,sudah
