slang,normalisasi
dlm,dalam
dlu,dulu
dn,dan
dngn,dengan
doang,saja
doank,hanya
donk,dong
dooangann,hanya
dpt,dapat
dr,dari
dri,dari
dsn,dan
dst,dan seterusnya
dtang,datang
dudah,sudah
duit,uang
dulor2,saudara-saudara
dwmo,demo
dy,dia
dzolim,zalim
ecek,remeh
ecekkk,remeh
egk,tidak
egoiss,egois
eksekutip,eksekutif
ekslusif,eksklusif
emaknya,ibunya
emg,emang
enak2kn,enak-enakan
enteng,ringan
enyaaahhh,pergi
erampok,perampok
ewan,dewan
extrem,ekstrem 
fasiliras,fasilitas
feeling,perasaan
fikontenini,di konten ini
focus,fokus
fokusss,fokus
full,penuh
g,tidak
ga,tidak
gaaas,gas (lanjutkan)
gaakan,tidak akan
gajih,gaji
gajiiii,gaji
gak,tidak
ganjos,keren
gara2,gara-gara
gede,besar
gegara,gara-gara
gerakn,gerakan
gga,tidak
gh,tidak
gi,gitu
gila2an,gila-gilaan
gilongan,golongan
gimna,gimana
gina,guna
gini,ini
giur,tergiur
gk,tidak
glinda,gerinda
gua,saya
gubar,bubar
gubarkan,bubarkan
gue,saya
gw,saya
habis2an,habis-habisan
hadirrrr,hadir
hak2,hak-hak
hakim2,hakim-hakim
hal2,hal-hal
hambur2,hambur-hamburkan
hancurla,hancurlah
hancurrrrrrrrrkann,hancurkan
hannya,hanya
hapuskn,hapuskan
haramm,haram
harga2,harga-harga
hars,harus
hartabenda,harta benda
harusya,harusnya
hati2,hati-hati
hawatir,khawatir
hilang2,hilang-hilang
hnya,hanya
hpus,hapus
hpuskan,hapuskan
hr,hari
hrg,harga
hrgnya,harganya
hrs,harus
hti,hati
hy,hanya
iangan,jangan
ibuk,ibu
idiologi,ideologi
indo,indonesia
indonesaia,indonesia
indonesi,indonesia
indrpenden,independen
inget,ingat
injak2,injak-injak
intropeksi,introspeksi
intuk,untuk
isyu,isu
it,itu
itukn,itu kan
jadikn,jadikan
jado,jadi
jadu,jadi
jagan,jangan
jaman,zaman
jangan2,jangan
janji2,janji
jarah2,jarah
jd,jadi
jdi,jadi
jemblos,coblos
jepolisian,kepolisian
jg,juga
jga,juga
jgn,jangan
jgn,juga
jidad,jidat
jilbap,kerudung
jjika,jika
jkt,jakarta
jln,jalan
jmlh,jumlah
jng,jangan
jngan,jangan
jngn,jangan
joged,joget
joget2,joget-joget
joget2,joget-joget 
jokiwi,jokowi
jongos,budak
joooooos,keren
jorup,korupsi
jos,keren
jt,juta
judoll,judol
justeru,justru
kabupatin,kabupaten
kacung,budak
kaga,tidak
kainnya,lainnya
kakitangannya,kaki tangannya 
kalo,kalau
kalopun,kalaupun
kalu,kalau
kanann,kanan
kapok2,kapok
karana,karena 
karitu ,begitu
karna,karena 
karyawan2,karyawan-karyawan
kasi,kasih
kasik,kasih
kataya,katanya
kau,kamu
kayak,seperti
keadlilan,keadilan
kebiadanban,kebiadaban
keburukan2,keburukan-keburukan
kedholiman,kezaliman
kedoliman,kezaliman
keinaikn,kenaikan
kejaaammmm,kejam
kelar2,kelar-kelar
kelompok2,kelompok-kelompok
kemaren ,kemarin
kenkopolhukam,menkopolhukam
keparaattt,keparat
kepengusaha2,kepengusaha-pengusaha
kerj,kerja
kerjan,kerjaan
kerje,kerja
kermh,ke rumah
kerumah,ke rumah
kesalan,kekesalan
ketaui,ketahui
ketidak,ketidakadilan
ketimbang,dibandingkan
kezholiman,kezaliman
kiat,kita
kibuli,dibohongi
kira2,kira-kira
kitak,kita
kkekcauan,kekacauan
kl,kalau
klakuan,kelakuan
klau,kalau 
klau,kalau
kllo,kalau
klo,kalau
klu,kalau
kluarkan,keluarkan
klw,kalau
kmbali,kembali
kmi,kami
kn,kan
knp ,kenapa
ko,kok
kok.bubarkn,kok bubarkan
komas,komnas
komndo,komando
komplen,komplain
kontrakrp50jt,kontrak rp 50 juta
koq,kok
koropisi,korupsi
koropsi,korupsi
koruosi,korupsi
korup,korupsi
korups,korupsi
korupsih,korupsi
korupsih.itu,korupsi itu
korupst,korupsi
koruptor.rusak,koruptor rusak
koruptor2,koruptor-koruptor
kpd,kepada
kpn,kapan
krbutuhan,kebutuhan
krinier,kinerja
krn,karena
krn,karena 
krsrakahan,keserakahan 
kt,kita
kucing2an,kucing
kuhut,luhut
kuropspsi,korupsi
kuyo2,kuyo
kwatir,khawatir
kwpolisian,kepolisian
kya,kaya
kyknya,kayaknya
la,lah
lagiiiii,lagi
laksanaka,laksanakan
lama2,lama-lama
lamaaaaaa,lama
lamhay,lambat
lanjutken,lanjutkan
lbeh,lebih
lbh,lebih
legowo,lapang dada
lembaga2,lembaga-lembaga
lenyapmenjijikan,lenyap menjijikan
lg,lagi
lgi,lagi
lgs,langsung
lha,lah
lihatwajah,lihat wajah
lindungilh,lindungilah
lo,kamu
loe,loh
loo,loh
luarbisa,luar biasa
ma,sama
macam2,macam-macam
madalah,masalah
maen,main
maha2,mahal-mahal
mahacasis,mahasiswa
mahal2,mahal-mahal
mahukan,mau
majuu,maju
makn,makan
mala,malah
mana2,mana
mangan,makan
mantaaap,mantap
manusia2,manusia-manusia
maraoke,merauke
masarakat,masyarakat
masharakat,masyarakat
maslh,masalah
masuuuk,masuk
masyarakt,masyarakat
masyarat,masyarakat
masyrakat,masyarakat
mbacot,omong kosong
mdgn,medan
menari2,menari-nari
mencekit,mencekik
mendem,tertimbun
mendgr,mendengar
mendng,mending
menegakn,menegakkan
menegaskn,menegaskan
menganti,mengganti
mengeledah,menggeledah
menggajih,gaji
menguatirkan,mengkhawatirkan
menninggal,meninggal
mensah,mensahkan
mensejatrahkan,mensejahterakan
mentang2,mentang-mentang
menteri2,menteri-menteri
mentri2,menteri-menteri
menyarakan,menyuarakan
menyngsarakn,menyengsarakan
merdekaaaa,merdeka
mereke,mereka
merformasi,mereformasi
merka,mereka
meyuarakan,menyuarakan
mhn,mohon
miilik,milik
mimpiiiiii,mimpi
minggat,pergi
misken,miskin
miskikkan,miskinkan
mju,maju
mkin,makin
mkn,makan
mkny,makanya
mlarat,miskin
mlempem,lemah
mmg,memang
mmprjuangkn,memperjuangkan
mn,mana
mna,mana
mnderita,menderita
mndur,mundur
mnggeliat,menggeliat
mnghalangi,mengahalangi
mnjengkelkn,menjengkelkan
mnjga,menjaga
mnta,minta
mnykiti,menyakiti
moda,muda
modyar,mati
moga,semoga
molor,menunda-nunda
mreka,mereka
mrk,mereka
mrndesak,mendesak
msh,masih
mslh,masalah
muaakk,muak
mugni,murni
mukyani,mulyani
munkin,mungkin
murini,murni
music,musik
mustahil,mustahil
musuk,musuh
mw,mau
my   ,ma
n,dan
n.k.r.i,nkri
naek,naik
nahasih,kenapasih
naikn,naikkan
nb,nota bene (catatan)
nda,tidak
negaradisgusting,negara menjijikan
negri,negeri
negrri,negeri
nerima,terima 
ng,tidak
nga,tidak
ngak,tidak
ngasi,kasih
ngawor,sembarangan
ngedableg,keras kepala
ngeliat,melihat
ngemis2,ngemis-ngemis
ngerocos,omong kosong
nggak,tidak
nggk,tidak
ngk,tidak
nglunjak,ngelunjak
ni,nih
nnt,nanti
no,tidak
nodoh2in,bodoh-bodohin
nongol,muncul
ntar,nanti
nti,nanti
ntuk,untuk
ny,nya
oajak,pajak
oejabat,pejabat
oemilu,pemilu
oknum2,oknum-oknum
okt,oktober
oky,oke
omon2,omong kosong
opegasahan,pengesahan
ora,tidak
orang2,orang
org,orang
org2,orang-orang
orgnya,orangnya
otaknye,otaknya
pa,bapak
pad,pada
pajak2,pajak-pajak
pajak2nya,pajak-pajaknya
pajakk,pajak
pake,pakai
palah,malah
pamarentah,pemerintah
panc,pancing
pantezan,pantesan
pas,tepat
pasilitas,fasilitas
paw,pawai
pd,pada
pdhl,padahal
pduli,peduli
pecabat,pejabat
pecat2,pecat-pecat
pegawae,pegawai
pehabat,pejabat
peienyitaan,penyitaan
pejabad,pejabat
pejabat2,pejabat-pejabat
pejuangan,perjuangan
pekerjaann,pekerjaan
pemeraaaasss,pemeras
pemerinth,pemerintah
pemeritah,pemerintah
pencetahannya,pencerahannya
pendana,pendanaan
pengen,ingin
pengisap,penghisap
pengrusakan,perusakan
pengusaan,penguasaan
penjabat,pejabat
peraaang,perang
perampsan,perampasan
perbadingakan,perbandingkan
percumah,percuma
perluu,perlu
permpasan,perampasan
perusahaan2 ,perusahaan-perusahaan
petampasan,perampasan
pingin,ingin
pintam,pintar
pjk,pajak
pling,paling
plus,tambah
pmimpin,pemimpin
pntng,pantang
podo,pada
pon,pun
pp,apa-apa
pra,sebelum
prbaiki,perbaiki
preman2,preman-preman
prempasan,perampasan
presen,persen
preside,presiden
preside.yg,presiden yang
president,presiden
propokator,provokator
pto,pro
ptut,patut
punten,permisi
raktat,rakyat
rakus2,rakus-rakus
rakya,rakyat
rakyak,rakyat
rakyat,masyarakat
rakyat.bubarkan,rakyat bubarkan
rakyat3,rakyat
rakyatkahlah,rakyat kalah
rakyatmahasiswa,rakyat mahasiswa
rakyatsejahtera,rakyat sejahtera
rakyattt,rakyat
rakyattttt,rakyat
rakyt,rakyat
rampok2,rampok-rampok
rantastis,fantastis
rapot,rapat
rasizzz,rasis
rayat,rakyat
rb,ribu
real,asli
resaple,reshuffle
resufle,reshuffle
rg,rocky gerung
ricu,ricuh
rkyat,rakyat
rkyat.jgn,rakyat jangan
rkyt,rakyat
rmah,rumah
rmh,rumah
rp100jt,rp 100 juta
rp12jt,rp 12 juta
rskyat,rakyat
ruwet,ribet
s.d.a,sda
s.d.m,sdm
sahid,syahid
sahka,sahkan
salahkn,salahkan
salhkn,salahkan
sampae,sampai
sampay,sampai
sampe,sampai
sampein,sampaikan
sampek,sampai
saudara2,saudara-saudara
saudara2ku,saudara-saudaraku
saudara2q,saudara-saudaraku
sbb,sebab
sbg,sebagai
sbgai,sebagai
sblumnya,sebelumnya
scr,secara
sd,sudah
sdah,sudah
sdgkn,sedangkan
sdh,sudah
seadil2,seadil-adilnya
seakan2,seakan-akan
sebelm,sebelum
sedanh,sedang
seh,sih
seharasnya,seharusnya
sehrsnya,seharusnya
sejahtra,sejahtera
sejaktra,sejahtera
seknifikan,signifikan
sekrg,sekarang
sekrng,sekarang
selsai,selesai
semena2,semena-mena
sementata,sementara
semngat,semangat
sendiir,sendiri
seneng,senang
senggan,segan
sept,september
septtnya,sepertinya
setela,setelah
seterah,terserah
setujui,setuju
seumur2,seumur-umur
sgra,segera
sht,sehat
sia2,sia-sia
siapmnunggu,menunggu
sidah,sudah
situ,anda
sj,saja 
sj,saja
sja,saja
sjh,saja
skali,sekali
skl,selalu
skla,sekala
skr,sekarang
skrang,sekarang
skrng,sekarang
slang,normalisasi
sllu,selalu
sluruh,seluruh
sm,sama
smentara,sementara
smg,semoga
smoga,semoga
smua,semua
smuanya,semuanya
sndiri,sendiri
sobatku,sahabatku
sodara2,saudara-saudara
sogeh,kaya
sonoh,sana
sperti ,seperti
spt,seperti
srentak,serentak
srharusnya,seharusnya
stiril,steril
stuju,setuju
sudah2,sudah-sudah
sx,sekali
sy,saya
syahkan,sahkan
syhkn,sahkan
syur,suara
tahun,dapat
tai,tahi
taik,tahi
tailand,thailand
tanggungjawab,tanggung jawab
targed,target
tau,tahu
tbtb,tiba-tiba
tdk,tidak
tegu,teguh
telek2,tahi
teraniyaya,teraniaya
tercintaaa,tercinta
teriak2,teriak-teriak
terossss,terus
tertidasan.mari,tertindas mari
tertidasan.mari,tertindas
terusss,terus
terusssss,terus
tgl,tanggal
th,tahun
thd,terhadap
thn,tahun
thu,tahu
thun,tahun
thx,terima kasih
tida,tidak
tikus2,tikus
tingal,tinggal
tk,tidak
tnp ,tanpa
tnpa,tanpa
todak,tidak
tolol,bodoh
tp,tapi
tpi,tapi
transparency,transparansi
trhdap,terhadap
trilyun,triliun
trima,terima
trims,terima kasih
tros,terus
trskn,teruskan
trtindas,tertindas
trus,terus
truss,terus
trusss,terus
truuuus,terus
tsb,tersebut
ttp,tetap
tu,itu
tunjangan2,tunjangan
tunjngn,tunjangan
tuntang,tuntutan
tuntutan17,tuntutan 17
tuntutannyasalam,tuntutannya
tuntuttan,tuntutan
turu,tidur
tutut,tuntut
tututan,tuntutan
u,untuk
udahhh,sudah
uga,juga
ujung2nya,ujung-ujungnya
undang2,undang-undang
undang2,undang2
unt,untuk
untk,untuk
urgen,darurat
urgent,darurat
urus,peduli
ush,usah
utk,untuk
uu,undang-undang
uud,uu
uudang,undang-undang
uuprampasan,uu perampasan
uwes,sudah
va,ya
versatu,bersatu
waahh,wah
waili,wakili
wakil2,wakil-wakil
walaikumsalam,waalaikumsalam
walo,walau
wargaindonesia,warga indonesia
wedele,pusar
wellcome,terbuka
wktu,waktu
wrwb,assalamualaikum
x,kali
yaaa,ya
yg,yang
ygakan,yang akan
yo,ayo
yok,yuk
zhalim,zalim
zolim,zalim
